scope,name,url,selection_axes,engineering_score,artifact_path,evaluator,ndcg10,ndcg50,map,p10,composite,coverage,n_ranked_scored,n_labels
local,main,,local,17,submission.csv,h2,0.828822095429,0.868076880219,1.000000000000,1.000000000000,0.874834111780,1.000000000000,100,100000
local,main,,local,17,submission.csv,independent,0.876890475880,0.814025693069,0.989384426475,1.000000000000,0.881060609832,1.000000000000,100,100000
local,main,,local,17,submission.csv,judge1,0.894279098055,0.925959006837,0.985297206469,1.000000000000,0.922721832049,0.690000000000,69,249
local,main,,local,17,submission.csv,judge2,1.000000000000,0.877588890955,1.000000000000,1.000000000000,0.963276667287,0.690000000000,69,249
local,main,,local,17,submission.csv,judge3,0.943202124826,0.868165988898,0.970378103183,1.000000000000,0.927607574560,0.690000000000,69,249
local,main,,local,17,submission.csv,expand,0.620378554056,0.515396078986,1.000000000000,1.000000000000,0.664808100724,0.280000000000,28,639
local,main,,local,17,submission.csv,silver20k,0.908809338289,0.755357292233,0.956521739130,1.000000000000,0.874490117684,0.230000000000,23,20000
local,main,,local,17,submission.csv,reviewer,0.797727178252,0.708722485360,0.427642466438,0.700000000000,0.710626704700,0.570000000000,57,180
local,main,,local,17,submission.csv,blind,0.903842430199,0.874678897794,0.816666666667,0.700000000000,0.871824884438,0.190000000000,19,50
local,main,,local,17,submission.csv,merged_j1,0.894279098055,0.820596728925,0.988100085897,1.000000000000,0.891533580590,0.860000000000,86,281
local,main,,local,17,submission.csv,merged_j2,1.000000000000,0.863722151395,1.000000000000,1.000000000000,0.959116645419,0.860000000000,86,281
local,main,,local,17,submission.csv,merged_j3,0.943202124826,0.836789980007,0.976060076529,1.000000000000,0.919047067895,0.860000000000,86,281
local,main,,local,17,submission.csv,relabel_j4,1.000000000000,0.827029809495,1.000000000000,1.000000000000,0.948108942848,0.830000000000,83,135
local,main,,local,17,submission.csv,relabel_g25,0.745202795564,0.721075257013,0.987659719100,1.000000000000,0.787072932751,0.830000000000,83,136
local,main,,local,17,submission.csv,blind_test_frozen,0.919185033519,0.909496666522,1.000000000000,1.000000000000,0.932441516716,0.950000000000,95,1000
local,v3,,local,17,submission.csv,h2,0.824858985284,0.898542944293,1.000000000000,1.000000000000,0.881992375930,1.000000000000,100,100000
local,v3,,local,17,submission.csv,independent,0.872697521131,0.831857293559,1.000000000000,1.000000000000,0.885905948633,1.000000000000,100,100000
local,v3,,local,17,submission.csv,judge1,0.910365588982,0.929758348013,0.986668975069,1.000000000000,0.932110645155,0.760000000000,76,249
local,v3,,local,17,submission.csv,judge2,1.000000000000,0.888646528758,1.000000000000,1.000000000000,0.966593958627,0.760000000000,76,249
local,v3,,local,17,submission.csv,judge3,0.967163464155,0.875406319238,0.972611824618,1.000000000000,0.942095401542,0.760000000000,76,249
local,v3,,local,17,submission.csv,expand,0.870381694678,0.597925536544,1.000000000000,1.000000000000,0.814568508302,0.240000000000,24,639
local,v3,,local,17,submission.csv,silver20k,0.954896703409,0.801554632978,1.000000000000,1.000000000000,0.917914741598,0.250000000000,25,20000
local,v3,,local,17,submission.csv,reviewer,0.949103369441,0.726942742580,0.479791873636,0.900000000000,0.809603288540,0.620000000000,62,180
local,v3,,local,17,submission.csv,blind,0.918474811015,0.918025610330,0.848464912281,0.700000000000,0.896914825449,0.240000000000,24,50
local,v3,,local,17,submission.csv,merged_j1,0.910365588982,0.841833327598,0.989248528746,1.000000000000,0.906120072082,0.940000000000,94,281
local,v3,,local,17,submission.csv,merged_j2,1.000000000000,0.911768727703,1.000000000000,1.000000000000,0.973530618311,0.940000000000,94,281
local,v3,,local,17,submission.csv,merged_j3,0.967163464155,0.874193741852,0.978026784701,1.000000000000,0.942543872339,0.940000000000,94,281
local,v3,,local,17,submission.csv,relabel_j4,1.000000000000,0.878804777708,1.000000000000,1.000000000000,0.963641433313,0.910000000000,91,135
